,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
28,audi,100,1994,regular unleaded,172.0,6.0,manual,all wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000
29,audi,100,1994,regular unleaded,172.0,6.0,manual,front wheel drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000
30,audi,100,1994,regular unleaded,172.0,6.0,automatic,front wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000
31,audi,100,1994,regular unleaded,172.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000
32,fiat,124 spider,2017,premium unleaded (recommended),160.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495
33,fiat,124 spider,2017,premium unleaded (recommended),160.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995
34,fiat,124 spider,2017,premium unleaded (recommended),160.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195
35,mercedes-benz,190-class,1991,regular unleaded,130.0,4.0,manual,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
36,mercedes-benz,190-class,1991,regular unleaded,158.0,6.0,manual,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
37,mercedes-benz,190-class,1992,regular unleaded,158.0,6.0,manual,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
38,mercedes-benz,190-class,1992,regular unleaded,130.0,4.0,manual,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
39,mercedes-benz,190-class,1993,regular unleaded,130.0,4.0,manual,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
40,mercedes-benz,190-class,1993,regular unleaded,158.0,6.0,manual,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
41,bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850
42,bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650
43,bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750
44,bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850
45,bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650
46,bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150
47,bmw,2 series,2016,premium unleaded (required),240.0,4.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850
48,bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150
49,bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750
50,bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
51,bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050
52,bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050
53,bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450
54,bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950
55,bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,24,3916,33150
56,bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,33,24,3916,35150
57,bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,2.0,Luxury,Compact,Convertible,33,23,3916,40950
58,audi,200,1990,regular unleaded,162.0,5.0,automatic,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000
59,audi,200,1990,regular unleaded,162.0,5.0,manual,all wheel drive,4.0,Luxury,Midsize,Wagon,22,15,3105,2000
60,audi,200,1990,regular unleaded,162.0,5.0,manual,all wheel drive,4.0,Luxury,Midsize,Sedan,23,15,3105,2000
61,audi,200,1991,regular unleaded,217.0,5.0,manual,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000
62,audi,200,1991,regular unleaded,217.0,5.0,manual,all wheel drive,4.0,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000
63,audi,200,1991,regular unleaded,162.0,5.0,automatic,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000
64,chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170
65,chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950
66,chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370
67,chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
68,chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625
69,chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825
70,chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
71,chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795
72,chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785
73,chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905
74,chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490
75,chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570
76,chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690
77,chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490
78,chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905
79,chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785
80,chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685
81,chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490
82,chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690
83,chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,automatic,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900
84,chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795
85,chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
86,chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,automatic,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490
89,nissan,200sx,1996,regular unleaded,140.0,4.0,manual,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000
90,nissan,200sx,1997,regular unleaded,140.0,4.0,manual,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000
95,nissan,200sx,1998,regular unleaded,140.0,4.0,manual,front wheel drive,2.0,Performance,Compact,Coupe,28,20,2009,2073
96,nissan,240sx,1996,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3713
97,nissan,240sx,1996,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3520
98,nissan,240sx,1997,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3910
99,nissan,240sx,1997,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4182
100,nissan,240sx,1997,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4107
101,nissan,240sx,1998,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4299
102,nissan,240sx,1998,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4693
103,nissan,240sx,1998,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4107
104,volvo,240,1991,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000
105,volvo,240,1991,regular unleaded,114.0,4.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,18,870,2000
106,volvo,240,1991,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
107,volvo,240,1992,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
108,volvo,240,1992,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000
109,volvo,240,1992,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
110,volvo,240,1993,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
111,volvo,240,1993,regular unleaded,114.0,4.0,manual,rear wheel drive,4.0,Luxury,Midsize,Wagon,25,18,870,2000
112,mazda,2,2012,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16020
113,mazda,2,2012,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14530
114,mazda,2,2012,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,16860
115,mazda,2,2012,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15370
116,mazda,2,2013,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050
117,mazda,2,2013,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560
118,mazda,2,2013,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210
119,mazda,2,2013,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720
120,mazda,2,2014,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050
121,mazda,2,2014,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560
122,mazda,2,2014,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210
123,mazda,2,2014,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720
124,bmw,3 series gran turismo,2015,premium unleaded (required),300.0,6.0,automatic,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250
125,bmw,3 series gran turismo,2015,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
126,bmw,3 series gran turismo,2015,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
127,bmw,3 series gran turismo,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000
128,bmw,3 series gran turismo,2016,premium unleaded (required),300.0,6.0,automatic,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200
129,bmw,3 series gran turismo,2017,premium unleaded (required),320.0,6.0,automatic,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650
130,bmw,3 series gran turismo,2017,premium unleaded (required),248.0,4.0,automatic,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950
131,bmw,3 series,2015,premium unleaded (required),241.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,33,22,3916,41950
132,bmw,3 series,2015,premium unleaded (required),335.0,6.0,automatic,rear wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150
133,bmw,3 series,2015,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
134,bmw,3 series,2015,premium unleaded (required),300.0,6.0,automatic,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750
135,bmw,3 series,2015,diesel,180.0,4.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
136,bmw,3 series,2015,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500
137,bmw,3 series,2015,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500
138,bmw,3 series,2015,premium unleaded (required),180.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,34950
139,bmw,3 series,2015,premium unleaded (required),300.0,6.0,automatic,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750
140,bmw,3 series,2015,diesel,180.0,4.0,automatic,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450
141,bmw,3 series,2015,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
142,bmw,3 series,2015,diesel,180.0,4.0,automatic,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000
143,bmw,3 series,2015,premium unleaded (required),180.0,4.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,32950
144,bmw,3 series,2016,diesel,180.0,4.0,automatic,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850
145,bmw,3 series,2016,premium unleaded (required),320.0,6.0,automatic,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800
146,bmw,3 series,2016,diesel,180.0,4.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850
147,bmw,3 series,2016,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
148,bmw,3 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,34,22,3916,40350
149,bmw,3 series,2016,premium unleaded (required),240.0,4.0,manual,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
150,bmw,3 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,34,22,3916,42650
151,bmw,3 series,2016,premium unleaded (required),180.0,4.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,33150
152,bmw,3 series,2016,premium unleaded (required),180.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,35150
153,bmw,3 series,2016,diesel,180.0,4.0,automatic,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150
154,bmw,3 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800
155,bmw,3 series,2017,premium unleaded (recommended),248.0,4.0,automatic,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750
156,bmw,3 series,2017,premium unleaded (recommended),180.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,34,23,3916,35450
157,bmw,3 series,2017,premium unleaded (recommended),180.0,4.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,33450
158,bmw,3 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,33,23,3916,40750
159,bmw,3 series,2017,diesel,180.0,4.0,automatic,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250
160,bmw,3 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950
161,bmw,3 series,2017,diesel,180.0,4.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250
162,bmw,3 series,2017,premium unleaded (recommended),320.0,6.0,automatic,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900
163,bmw,3 series,2017,premium unleaded (recommended),320.0,6.0,automatic,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900
164,bmw,3 series,2017,diesel,180.0,4.0,automatic,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450
165,mercedes-benz,300-class,1991,regular unleaded,177.0,6.0,automatic,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2232
166,mercedes-benz,300-class,1991,regular unleaded,177.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000
167,mercedes-benz,300-class,1991,regular unleaded,158.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2000
168,mercedes-benz,300-class,1991,regular unleaded,177.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,20,15,617,2105
169,mercedes-benz,300-class,1991,regular unleaded,177.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2199
170,mercedes-benz,300-class,1991,regular unleaded,177.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2000
171,mercedes-benz,300-class,1991,regular unleaded,177.0,6.0,automatic,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2124
172,mercedes-benz,300-class,1991,regular unleaded,228.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,3552
173,mercedes-benz,300-class,1991,regular unleaded,217.0,6.0,automatic,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,15,617,2179
174,mercedes-benz,300-class,1991,diesel,121.0,5.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
175,mercedes-benz,300-class,1992,diesel,121.0,5.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,29,23,617,2000
176,mercedes-benz,300-class,1992,regular unleaded,228.0,6.0,automatic,rear wheel drive,4.0,Luxury,Large,Sedan,17,14,617,2377
177,mercedes-benz,300-class,1992,regular unleaded,228.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,15,617,3814
178,mercedes-benz,300-class,1992,regular unleaded,177.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,19,15,617,2207
179,mercedes-benz,300-class,1992,regular unleaded,177.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000
180,mercedes-benz,300-class,1992,regular unleaded,217.0,6.0,automatic,rear wheel drive,2.0,Luxury,Midsize,Coupe,21,15,617,2248
181,mercedes-benz,300-class,1992,regular unleaded,177.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2065
182,mercedes-benz,300-class,1992,diesel,148.0,6.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Large,Sedan,22,18,617,2547
183,mercedes-benz,300-class,1992,regular unleaded,177.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2282
184,mercedes-benz,300-class,1992,regular unleaded,158.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,23,18,617,2000
185,mercedes-benz,300-class,1993,regular unleaded,177.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Wagon,19,15,617,2544
186,mercedes-benz,300-class,1993,regular unleaded,217.0,6.0,automatic,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,17,617,2397
187,mercedes-benz,300-class,1993,diesel,121.0,5.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
188,mercedes-benz,300-class,1993,regular unleaded,228.0,6.0,manual,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,4174
189,mercedes-benz,300-class,1993,regular unleaded,217.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2187
190,mercedes-benz,300-class,1993,diesel,148.0,6.0,automatic,rear wheel drive,4.0,"Diesel,Luxury",Large,Sedan,22,18,617,2729
191,mercedes-benz,300-class,1993,regular unleaded,177.0,6.0,automatic,all wheel drive,4.0,Luxury,Midsize,Sedan,19,15,617,2433
192,mercedes-benz,300-class,1993,regular unleaded,194.0,6.0,automatic,rear wheel drive,4.0,Luxury,Midsize,Sedan,23,17,617,2247
193,mercedes-benz,300-class,1993,regular unleaded,228.0,6.0,automatic,rear wheel drive,4.0,Luxury,Large,Sedan,18,14,617,2540
194,mitsubishi,3000gt,1997,regular unleaded,218.0,6.0,manual,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,23,17,436,3941
