,Manufacturer,Model,Sales_in_thousands,resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency
73,mercury,sable,67.956,11.03,19.035,3.0,153.0,108.5,73.0,199.7,3.3789999999999996,16.0,24.0
74,mercury,grand marquis,81.17399999999999,14.875,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0
75,mercury,mountaineer,27.609,20.43,27.56,4.0,210.0,111.6,70.2,190.1,3.8760000000000003,21.0,18.0
76,mercury,villager,20.38,14.795,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0
77,mercedes-b,c-class,18.392,26.05,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0
78,mercedes-b,e-class,27.601999999999997,41.45,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0
79,mercedes-b,s-class,16.774,50.375,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0
80,mercedes-b,sl-class,3.3110000000000004,58.6,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0
81,nissan,sentra,42.643,8.45,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0
82,nissan,altima,88.094,11.295,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0
83,nissan,maxima,79.85300000000001,15.125,26.249000000000002,3.0,222.0,108.3,70.3,190.5,3.2939999999999996,18.5,25.0
84,nissan,quest,27.308000000000003,15.38,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0
85,nissan,pathfinder,42.574,17.81,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0
86,oldsmobile,cutlass,1.112,11.24,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0
87,oldsmobile,aurora,14.69,19.89,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0
88,oldsmobile,bravada,20.017,19.925,31.598000000000003,4.3,190.0,107.0,67.8,181.2,4.0680000000000005,17.5,19.0
89,oldsmobile,silhouette,24.361,15.24,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0
90,plymouth,neon,32.734,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0
91,plymouth,breeze,5.24,9.8,16.08,2.0,132.0,108.0,71.0,186.3,2.9419999999999997,16.0,27.0
92,plymouth,voyager,24.155,12.025,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0
93,pontiac,sunfire,51.645,13.79,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0
94,pontiac,grand am,131.097,10.29,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0
95,pontiac,firebird,19.910999999999998,17.805,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0
96,pontiac,grand prix,92.36399999999999,14.01,21.665,3.8,195.0,110.5,72.7,196.5,3.3960000000000004,18.0,25.0
97,pontiac,bonneville,35.945,13.225,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0
98,porsche,boxter,8.982000000000001,41.25,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0
99,porsche,carrera coupe,1.28,60.625,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0
100,porsche,carrera cabrio,1.8659999999999999,67.55,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0
101,saturn,sl,80.62,9.2,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0
102,saturn,sc,24.546,10.59,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0
103,saturn,sw,5.223,10.79,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0
104,toyota,corolla,142.535,10.025,13.107999999999999,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0
105,toyota,camry,247.99400000000003,13.245,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0
106,toyota,avalon,63.849,18.14,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0
107,toyota,celica,33.269,15.445,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0
108,toyota,tacoma,84.087,9.575,11.527999999999999,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0
109,toyota,rav4,25.105999999999998,13.325,16.887999999999998,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0
110,toyota,4runner,68.411,19.425,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0
111,toyota,land cruiser,9.835,34.08,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0
112,volkswagen,golf,9.761000000000001,11.425,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0
113,volkswagen,jetta,83.721,13.24,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0
114,volkswagen,passat,51.102,16.725,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0
115,volkswagen,cabrio,9.568999999999999,16.575,19.99,2.0,115.0,97.4,66.7,160.4,3.0789999999999997,13.7,26.0
116,volkswagen,gti,5.596,13.76,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0
